facility_id,facility_name,category_main,category_detail,address,gu_name,dong_name,capacity,source_file,lon,lat,road_address,jibun_address,geocode_status,geocode_provider,geocode_query,geocode_error,geocode_sido,geocode_gu,geocode_dong,kakao_address_type,kakao_h_code,kakao_b_code,kakao_building_name,kakao_zone_no,grid_id,grid_id_50m
L-C0000006552,근화노인교실,여가,(노인복지시설) 노인교실,서울특별시 중구 동호로20길 24 (신당동),중구,신당동,,04_노인여가복지시설.csv,127.008963084864,37.5590698344618,서울 중구 동호로20길 24,서울 중구 신당동 406-4,OK,kakao,서울특별시 중구 동호로20길 24 (신당동),,서울,중구,다산동,ROAD_ADDR,1114062500.0,1114016200.0,신당동천주교회,4609.0,R-22,G50-00357-00475
L-C0000006693,도원동교회 노인교실,여가,(노인복지시설) 노인교실,서울특별시 용산구 새창로12길 11-8 (도원동),용산구,도원동,,04_노인여가복지시설.csv,126.957863326754,37.5387066649905,서울 용산구 새창로12길 11-8,서울 용산구 도원동 4-3,OK,kakao,서울특별시 용산구 새창로12길 11-8 (도원동),,서울,용산구,용문동,ROAD_ADDR,1117059000.0,1117012000.0,,4356.0,T-18,G50-00402-00384
L-C0000006711,후암동성당 시니어아카데미,여가,(노인복지시설) 노인교실,서울특별시 용산구 후암로34길 21-8 (후암동),용산구,후암동,,04_노인여가복지시설.csv,126.978181180222,37.5520046977388,서울 용산구 후암로34길 21-8,서울 용산구 후암동 38-3,OK,kakao,서울특별시 용산구 후암로34길 21-8 (후암동),,서울,용산구,후암동,ROAD_ADDR,1117051000.0,1117010100.0,후암동천주교회,4327.0,S-19,G50-00372-00420
L-C0000006714,용산성당 성모성심 아카데미,여가,(노인복지시설) 노인교실,서울특별시 용산구 효창원로15길 37 (산천동),용산구,산천동,,04_노인여가복지시설.csv,126.952304449698,37.5367947003806,서울 용산구 효창원로15길 37,서울 용산구 산천동 2-11,OK,kakao,서울특별시 용산구 효창원로15길 37 (산천동),,서울,용산구,원효로2동,ROAD_ADDR,1117057000.0,1117011500.0,용산천주교회,4357.0,T-17,G50-00406-00374
L-C0000006758,삼각교회 상록대학,여가,(노인복지시설) 노인교실,서울특별시 용산구 한강대로53길 8 (한강로1가),용산구,한강로동,,04_노인여가복지시설.csv,126.971296910309,37.5334751600826,서울 용산구 한강대로53길 8,서울 용산구 한강로1가 305-11,OK,kakao,서울특별시 용산구 한강대로53길 8 (한강로1가),,서울,용산구,한강로동,ROAD_ADDR,1117062500.0,1117012400.0,삼각교회,4375.0,U-19,G50-00414-00408
L-C0000006779,새남터성당 시니어아카데미,여가,(노인복지시설) 노인교실,서울특별시 용산구 이촌로 80-8 (이촌동),용산구,이촌동,,04_노인여가복지시설.csv,126.957071719901,37.5251265802093,서울 용산구 이촌로 80-8,서울 용산구 이촌동 199-1,OK,kakao,서울특별시 용산구 이촌로 80-8 (이촌동),,서울,용산구,이촌2동,ROAD_ADDR,1117064000.0,1117012900.0,새남터천주교회,4374.0,V-18,G50-00432-00383
L-C0000006922,성동무지개노인대학,여가,(노인복지시설) 노인교실,서울특별시 성동구 무학로6길 9 (홍익동),성동구,홍익동,,04_노인여가복지시설.csv,127.031126962364,37.5654858523364,서울 성동구 무학로6길 9,서울 성동구 홍익동 373-1,OK,kakao,서울특별시 성동구 무학로6길 9 (홍익동),,서울,성동구,왕십리도선동,ROAD_ADDR,1120053500.0,1120010300.0,성동구가족센터,4707.0,Q-24,G50-00343-00514
L-C0000007003,금호교회 늘푸른대학,여가,(노인복지시설) 노인교실,서울특별시 성동구 금호동3가 165-1,성동구,성동,,04_노인여가복지시설.csv,127.023589898532,37.5487641867396,서울 성동구 금호산2길 35,서울 성동구 금호동3가 165-1,OK,kakao,서울특별시 성동구 금호동3가 165-1,,서울,성동구,금호2.3가동,REGION_ADDR,1120061500.0,1120011100.0,금호교회,4729.0,S-23,G50-00380-00500
L-C0000007243,구의교회 늘푸른대학,여가,(노인복지시설) 노인교실,서울특별시 광진구 광나루로44길 47 (구의동),광진구,구의동,,04_노인여가복지시설.csv,127.091708912506,37.542257973309,서울 광진구 광나루로44길 47,서울 광진구 구의동 208-15,OK,kakao,서울특별시 광진구 광나루로44길 47 (구의동),,서울,광진구,구의3동,ROAD_ADDR,1121587000.0,1121510300.0,구의교회,5036.0,T-29,G50-00394-00621
L-C0000007274,(사)대한노인회 동대문구지회,여가,(노인복지시설) 노인교실,서울특별시 동대문구 사가정로 98 (전농동),동대문구,전농동,,04_노인여가복지시설.csv,127.056336927579,37.5763708070922,서울 동대문구 사가정로 98,서울 동대문구 전농동 295-495,OK,kakao,서울특별시 동대문구 사가정로 98 (전농동),,서울,동대문구,전농1동,ROAD_ADDR,1123056000.0,1123010400.0,대한노인회 동대문구지회,2539.0,P-26,G50-00318-00558
L-C0000007516,국일교회노인교실,여가,(노인복지시설) 노인교실,서울특별시 중랑구 상봉로25길 27 (상봉동),중랑구,상봉동,,04_노인여가복지시설.csv,127.091465987196,37.5947564577519,서울 중랑구 상봉로25길 27,서울 중랑구 상봉동 86-11,OK,kakao,서울특별시 중랑구 상봉로25길 27 (상봉동),,서울,중랑구,상봉2동,ROAD_ADDR,1126059000.0,1126010200.0,국일교회,2152.0,N-29,G50-00278-00620
