name,address,gu_raw,lon,lat,geocode_status
청송,청구로1길23(신당동) 115동뒤,중구,127.01844745293,37.5585358838305,api_ok
신당5동,다산로42길53(신당동),중구,127.019200220301,37.5643486342233,api_ok
유 락,퇴계로90길42(신당동),중구,127.021635510561,37.5634365849694,api_ok
한진그랑빌,"왕십리로39길30, 103동옆",중구,127.025708469371,37.5637098514331,api_ok
한진그랑빌행복,"왕십리로39길30, 104동옆",중구,127.025708469371,37.5637098514331,api_ok
하이베르,"퇴계로90길74, 111동",중구,127.020985832433,37.5610379790132,api_ok
사랑(구 하이베르2),"퇴계로90길74, 201동",중구,127.020985832433,37.5610379790132,api_ok
신당KCC스위첸,"난계로 130, 102동 1층",중구,127.024451759871,37.5633422415693,api_ok
하나유보라아파트,"중구 왕십리로 407, 105동 L2층",중구,127.024709957671,37.5647799977176,api_ok
동화동,퇴계로80길52(신당동),중구,127.017319585441,37.5632161023641,api_ok
신당푸르지오,다산로36길110(103동) 관리사무소옆,중구,127.019034279491,37.5598646712461,api_ok
동화동현대@,"다산로36길109, 1동앞",중구,127.022970424804,37.5605041293678,api_ok
파라다이스(150세대미만아파트),"다산로42나길46(신당동,파라다이스)",중구,127.017298689385,37.5624238591992,api_ok
청구e편한세상,"청구로64, 109동 1층",중구,127.015451019186,37.5599601596254,api_ok
동 화,"청구로64, 115동 1층",중구,127.015451019186,37.5599601596254,api_ok
황 중,난계로11길37(황학동),중구,127.021744996778,37.5666752856461,api_ok
SH황학롯데캐슬,"청계천로400(황학동), 106동7층",중구,127.021463886656,37.5708105464699,api_ok
롯데캐슬베네치아,"청계천로400(황학동), 103동7층",중구,127.021463886656,37.5708105464699,api_ok
중 림,손기정로 101-5,중구,126.966085273893,37.5568419128988,api_ok
삼성사이버,"중림로10(중림동), 105동앞",중구,126.964320892997,37.5589266608979,api_ok
충 정,"중림로4길41(중림동), 202동 1층",중구,126.964821110374,37.5570690448489,api_ok
서울역자이아파트,"만리재로 175, 109동 1층",중구,126.964454371144,37.5547908528642,api_ok
한 라,"만리재로 177, 103동 1층",중구,126.965847056196,37.5545735828657,api_ok
양짓말경로당,서울특별시 용산구 후암로13가길 25,용산구,126.976366900699,37.5483183639532,api_ok
활터골경로당,서울특별시 용산구 신흥로20길 55,용산구,126.984005692746,37.5478891485247,api_ok
새말경로당,서울특별시 용산구 두텁바위로58길 48,용산구,126.98303418886,37.5484269091897,api_ok
후암미주아파트경로당,서울특별시 용산구 후암로 71-1,용산구,126.97566104405,37.5519881673922,api_ok
두텁바위경로당,서울특별시 용산구 두텁바위로31길 28,용산구,126.980353024505,37.5475627059965,api_ok
신흥경로당,서울특별시 용산구 신흥로25가길 1,용산구,126.983357033549,37.5443937231306,api_ok
용산2가경로당,서울특별시 용산구 신흥로16길 18,용산구,126.987594898604,37.5448624036088,api_ok
용암경로당,서울특별시 용산구 신흥로3가길 21-7,용산구,126.984690595663,37.5410194799049,api_ok
동자동경로당,서울특별시 용산구 한강대로104길 30-4,용산구,126.973945171973,37.5500863344301,api_ok
갈월경로당,서울특별시 용산구 두텁바위로1길 13,용산구,126.973089067747,37.5457048556787,api_ok
남영경로당,서울특별시 용산구 한강대로72길 21-15,용산구,126.974351509449,37.5412823105358,api_ok
서계경로당,서울특별시 용산구 만리재로28길 5-22,용산구,126.965342285466,37.5531579681672,api_ok
서계제1경로당,서울특별시 용산구 효창원로104길 7,용산구,126.964256964679,37.5508333397422,api_ok
청파제1경로당,서울특별시 용산구 청파로71길 100,용산구,126.964618435349,37.5493604062934,api_ok
청파제2경로당,서울특별시 용산구 청파로49길 34,용산구,126.968501941191,37.5454724347096,api_ok
은행나무집경로당,서울특별시 용산구 청파로73길 73-10,용산구,126.966968817223,37.5514969038222,api_ok
원효제1경로당,서울특별시 용산구 백범로 329,용산구,126.965012154483,37.5389037956572,api_ok
효원경로당,서울특별시 용산구 원효로83길 13-4,용산구,126.967486498889,37.540168966292,api_ok
원일(원효로2가)경로당,서울특별시 용산구 원효로67길 13,용산구,126.963895226527,37.5375800703126,api_ok
신계경로당,서울특별시 용산구 원효로 216,용산구,126.966527167157,37.536723363574,api_ok
cj나인파크경로당,서울특별시 용산구 백범로90다길 12,용산구,126.969212704338,37.5363523414327,api_ok
KCC웰츠타워경로당,서울특별시 용산구 백범로90길 90,용산구,126.96883309004,37.5377465400136,api_ok
청심경로당,서울특별시 용산구 효창원로 6,용산구,126.950627548882,37.5338415222152,api_ok
원효로경로당,서울특별시 용산구 원효로41가길 14-19,용산구,126.956557152817,37.5347936874,api_ok
리버힐삼성아파트제2(임대)경로당,서울특별시 용산구 효창원로 17,용산구,126.950182625895,37.5344326622037,api_ok
리버힐삼성아파트제1경로당,서울특별시 용산구 효창원로13길 7,용산구,126.952096399226,37.5356967470594,api_ok
산천경로당,서울특별시 용산구 새창로8길 157,용산구,126.949722428965,37.5356870205155,api_ok
세방경로당,서울특별시 용산구 효창원로15길 16,용산구,126.954249134108,37.5363283010538,api_ok
강병삼성스위트경로당,서울특별시 용산구 원효로 40,용산구,126.949302620967,37.5339160142402,api_ok
효창동제1경로당,서울특별시 용산구 임정로11길 9,용산구,126.958555454156,37.5427936649641,api_ok
효창제2경로당,서울특별시 용산구 효창원로 146-12,용산구,126.963101106665,37.5411436404796,api_ok
효창한신아파트경로당,서울특별시 용산구 백범로45길 9-11,용산구,126.958097466727,37.5422805642886,api_ok
효창파크푸르지오아파트경로당,서울특별시 용산구 백범로 260,용산구,126.957796352972,37.5404959369857,api_ok
효창스위첸경로당,서울특별시 용산구 백범로 275,용산구,126.959671470587,37.5403166625675,api_ok
용산롯데캐슬경로당,서울특별시 용산구 백범로 313,용산구,126.962948470932,37.5393023092398,api_ok
데시앙포레경로당,서울특별시 용산구 효창원로 227,용산구,126.96203907111,37.5473793002411,api_ok
도원삼성래미안제2(임대)경로당,서울특별시 용산구 새창로8길 7,용산구,126.956277329878,37.5396768258994,api_ok
도원삼성래미안제1경로당,서울특별시 용산구 새창로 70,용산구,126.954943490673,37.5386030532321,api_ok
송학당경로당,서울특별시 용산구 효창원로37라길 11,용산구,126.958153333559,37.5378818123242,api_ok
중앙경로당,서울특별시 용산구 새창로 102,용산구,126.959578654304,37.5382815420041,api_ok
브라운스톤경로당,서울특별시 용산구 효창원로 88,용산구,126.959034062588,37.5366511744323,api_ok
삼각지경로당,서울특별시 용산구 이태원로2길 5,용산구,126.975145310184,37.5346852660218,api_ok
파크자이경로당,서울특별시 용산구 한강대로 205,용산구,126.972808655459,37.5366835309492,api_ok
한강로2가경로당,서울특별시 용산구 서빙고로20길 19,용산구,126.967774792039,37.5236343216106,api_ok
한강우람경로당,서울특별시 용산구 한강대로53길 1-8,용산구,126.971014575765,37.5330193648128,api_ok
용산파크이편한세상경로당,서울특별시 용산구 한강대로53길 16,용산구,126.970847000039,37.5342236014392,api_ok
한마음경로당,서울특별시 용산구 한강대로38길 28,용산구,126.969227845497,37.5281402604009,api_ok
한강로3가경로당,서울특별시 용산구 한강대로7길 17-16,용산구,126.96124954359,37.5239867252137,api_ok
삼오경로당,서울특별시 용산구 한강대로 60,용산구,126.965232897238,37.5260068407317,api_ok
파크타워경로당,서울특별시 용산구 서빙고로 67,용산구,126.970412727842,37.5248628078572,api_ok
센트럴파크경로당,"서울특별시 용산구 서빙고로 17, 101동 3층",용산구,126.966566172294,37.5269056148241,api_ok
이촌1동2경로당,서울특별시 용산구 이촌로75길 12-12,용산구,126.974659722227,37.5202529143567,api_ok
한가람아파트경로당,서울특별시 용산구 이촌로 201,용산구,126.970156197885,37.5213483828264,api_ok
강촌아파트경로당,서울특별시 용산구 이촌로87길 14,용산구,126.980070508891,37.5193185298828,api_ok
한강대우아파트경로당,서울특별시 용산구 이촌로65가길 3,용산구,126.97196691255,37.5223262342681,api_ok
이촌동코오롱아파트경로당,서울특별시 용산구 이촌로87길 21,용산구,126.978638484584,37.5203009135294,api_ok
삼성리버스위트아파트경로당,서울특별시 용산구 이촌로88길 30,용산구,126.975899020674,37.516879547214,api_ok
한강맨션경로당,서울특별시 용산구 이촌로 248,용산구,126.975025954742,37.5193865878083,api_ok
래미안첼리투스경로당,서울특별시 용산구 이촌로 310,용산구,126.980321728856,37.5172287849102,api_ok
우성아파트경로당,서울특별시 용산구 이촌로 193,용산구,126.968392298696,37.5215939878211,api_ok
이촌2동할머니(대림)경로당,서울특별시 용산구 이촌로2가길 122,용산구,126.954478744002,37.5254656474891,api_ok
이촌2동할아버지(대림)경로당,서울특별시 용산구 이촌로2가길 122,용산구,126.954478744002,37.5254656474891,cache_hit
현대한강아파트경로당,서울특별시 용산구 이촌로34길 29,용산구,126.956665435109,37.5236377056864,api_ok
북한강아파트(성원)경로당,서울특별시 용산구 이촌로2가길 66,용산구,126.953704659794,37.5275799081747,api_ok
동아그린아파트경로당,서울특별시 용산구 이촌로 100-8,용산구,126.957968161392,37.5244879118315,api_ok
청화경로당,서울특별시 용산구 장문로 27,용산구,126.993672893038,37.5291071806126,api_ok
이태원남부경로당,서울특별시 용산구 이태원로17길 12,용산구,126.991528362701,37.5348502083096,api_ok
이태원1동경로당,서울특별시 용산구 이태원로23길 19,용산구,126.992439228893,37.5352649106895,api_ok
이화경로당,서울특별시 용산구 이태원로16길 15-10,용산구,126.991727055747,37.5336874807567,api_ok
이태원북부경로당,서울특별시 용산구 회나무로13길 32,용산구,126.989762764681,37.5407431512893,api_ok
이태원중부경로당,서울특별시 용산구 회나무로6길 11-8,용산구,126.989034753188,37.5384055313536,api_ok
조양경로당,서울특별시 용산구 녹사평대로40나길 38-3,용산구,126.988844752364,37.5363014974037,api_ok
이태원대림경로당,서울특별시 용산구 녹사평대로 254,용산구,126.988404255609,37.5415810456425,api_ok
한남리버탑아파트경로당,서울특별시 용산구 독서당로6길 16,용산구,127.00803368655,37.5297888647806,api_ok
한남시범아파트경로당,서울특별시 용산구 독서당로34길 22,용산구,127.012417175353,37.5391998895742,api_ok
한남동제1경로당,서울특별시 용산구 한남대로 48-7,용산구,127.008433451618,37.5333414850205,api_ok
한남힐스테이트아파트경로당,서울특별시 용산구 장문로 141,용산구,127.003869953309,37.5289897960706,api_ok
매봉(한남2동)제일경로당,서울특별시 용산구 한남대로40길 32,용산구,127.00368476836,37.5430791991025,api_ok
한일경로당,서울특별시 용산구 이태원로54길 68-4,용산구,127.000887494569,37.5354366098236,api_ok
서빙고할아버지경로당,서울특별시 용산구 서빙고로59길 3-20,용산구,126.99226379532,37.5205301852519,api_ok
서빙고할머니경로당,서울특별시 용산구 녹사평대로14길 8,용산구,126.993860825072,37.5233752853983,api_ok
동빙고경로당,서울특별시 용산구 서빙고로75가길 23,용산구,126.996413511573,37.5228896600049,api_ok
신동아아파트경로당,서울특별시 용산구 이촌로 347,용산구,126.989737216338,37.5191002810313,api_ok
용산푸르지오파크타운경로당,서울특별시 용산구 녹사평대로 66,용산구,126.993145639398,37.5247220645149,api_ok
