facility_id,facility_name,category_main,category_detail,address,gu_name,dong_name,capacity,source_file
H-G2642,노블레스타워,주거,(노인복지시설) 노인복지주택,서울특별시 성북구 종암로 90 (종암동),성북구,종암동,,01_노인주거복지시설.csv
H-G3309,더시그넘하우스,주거,(노인복지시설) 노인복지주택,"서울특별시 강남구 자곡로 204-25 (자곡동, 더시그넘하우스)",강남구,자곡동,,01_노인주거복지시설.csv
H-G4986,실버하우스 늘봄,주거,(노인복지시설) 노인공동생활가정,서울특별시 양천구 목동중앙남로3길 42 (목동),양천구,목동,,01_노인주거복지시설.csv
M-A0001,서울꽃동네신내노인요양원,의료,(노인복지시설) 노인요양시설,서울특별시 중랑구 신내로 194 (신내동),중랑구,신내동,,02_노인의료복지시설.csv
M-A0003,청운노인요양원,의료,(노인복지시설) 노인요양시설,서울특별시 종로구 비봉길 76 (구기동),종로구,구기동,,02_노인의료복지시설.csv
M-A0007,천사노인요양원,의료,(노인복지시설) 노인요양시설,서울특별시 강서구 강서로45다길 30-22 (화곡동),강서구,화곡동,,02_노인의료복지시설.csv
M-A0016,서울특별시립 남부노인전문요양원,의료,(노인복지시설) 노인요양시설,경기도 군포시 고산로 589 (산본동),,산본동,,02_노인의료복지시설.csv
M-A0099,노인요양센터 인영실버,의료,(노인복지시설) 노인요양시설,"서울특별시 금천구 금하로 596 (시흥동, 인영실버빌딩)",금천구,시흥동,,02_노인의료복지시설.csv
M-A0100,동명노인복지쎈타,의료,(노인복지시설) 노인요양시설,서울특별시 관악구 봉천로23라길 15 (봉천동),관악구,봉천동,,02_노인의료복지시설.csv
M-A0131,영기노인요양원,의료,(노인복지시설) 노인요양시설,서울특별시 노원구 동일로248길 30 (상계동),노원구,상계동,,02_노인의료복지시설.csv
M-A0343,은천노인요양센터,의료,(노인복지시설) 노인요양시설,서울특별시 동대문구 장한로27가길 66 (장안동),동대문구,장안동,,02_노인의료복지시설.csv
M-A0347,동작실버센터,의료,(노인복지시설) 노인요양시설,서울특별시 동작구 노량진로32길 53 (본동),동작구,본동,,02_노인의료복지시설.csv
M-A0368,구립서초노인요양센터,의료,(노인복지시설) 노인요양시설,서울특별시 서초구 남부순환로340길 21 (서초동),서초구,서초동,,02_노인의료복지시설.csv
M-A0400,광림노인전문요양원,의료,(노인복지시설) 노인요양시설,강원도 춘천시 서면 경춘로 771-79,,,,02_노인의료복지시설.csv
M-A0607,청운노인복지센터,의료,(노인복지시설) 노인요양시설,서울특별시 동작구 국사봉1길 145 (상도동),동작구,상도동,,02_노인의료복지시설.csv
M-A0765,두엄자리,의료,(노인복지시설) 노인요양시설,서울특별시 양천구 목동중앙남로16다길 6-13 (목동),양천구,목동,,02_노인의료복지시설.csv
M-A0974,시립중계노인전문요양원,의료,(노인복지시설) 노인요양시설,"서울특별시 노원구 섬밭로 313 (중계동, 시립중계노인전문요양원)",노원구,중계동,,02_노인의료복지시설.csv
M-A1025,시립서부노인전문요양센터,의료,(노인복지시설) 노인요양시설,서울특별시 마포구 월드컵로36길 15 (성산동),마포구,성산동,,02_노인의료복지시설.csv
M-A1302,중앙소규모요양시설(나 형),의료,(노인복지시설) 노인요양시설,서울특별시 서대문구 서소문로 43-49 (합동),서대문구,합동,,02_노인의료복지시설.csv
M-A1303,중앙노인요양공동생활가정,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 서대문구 서소문로 43-49 (합동),서대문구,합동,,02_노인의료복지시설.csv
M-A1307,남부실버요양원,의료,(노인복지시설) 노인요양시설,서울특별시 금천구 범안로12가길 59 (독산동),금천구,독산동,,02_노인의료복지시설.csv
M-A1310,순애노인전문요양원,의료,(노인복지시설) 노인요양시설,경기도 고양시 덕양구 고골길178번길 73 (관산동),덕양구,관산동,,02_노인의료복지시설.csv
M-A1487,동명노인요양공동생활가정,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 관악구 봉천로23라길 13-1 (봉천동),관악구,봉천동,,02_노인의료복지시설.csv
M-A1515,한사랑실버케어요양원,의료,(노인복지시설) 노인요양시설,서울특별시 동대문구 장한로28길 56 (장안동),동대문구,장안동,,02_노인의료복지시설.csv
M-A1703,구립하계실버센터,의료,(노인복지시설) 노인요양시설,서울특별시 노원구 한글비석로 4 (하계동),노원구,하계동,,02_노인의료복지시설.csv
M-A1704,정성요양원,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 동작구 보라매로 89 (신대방동),동작구,신대방동,,02_노인의료복지시설.csv
M-A1723,효림노인요양센터,의료,(노인복지시설) 노인요양시설,서울특별시 서대문구 경기대로9길 62 (충정로3가),서대문구,,,02_노인의료복지시설.csv
M-A1926,호선실버센터,의료,(노인복지시설) 노인요양시설,서울특별시 강서구 수명로2길 96 (내발산동),강서구,내발산동,,02_노인의료복지시설.csv
M-A1945,강북노인전문요양원,의료,(노인복지시설) 노인요양시설,서울특별시 강북구 삼양로92길 20 (수유동),강북구,수유동,,02_노인의료복지시설.csv
M-A2007,유자원,의료,(노인복지시설) 노인요양시설,서울특별시 동대문구 망우로 82 (휘경동),동대문구,휘경동,,02_노인의료복지시설.csv
M-A2112,시립동부노인전문요양센터,의료,(노인복지시설) 노인요양시설,서울특별시 성동구 마장로23길 12 (홍익동),성동구,홍익동,,02_노인의료복지시설.csv
M-A2159,정원실버케어센터,의료,(노인복지시설) 노인요양시설,경기도 파주시 광탄면 장지산로200번길 32-83,,,,02_노인의료복지시설.csv
M-A2214,청암노인요양원,의료,(노인복지시설) 노인요양시설,서울특별시 송파구 성내천로 193 (마천동),송파구,마천동,,02_노인의료복지시설.csv
M-A2215,정원노인요양원,의료,(노인복지시설) 노인요양시설,경기도 파주시 광탄면 장지산로200번길 32-83,,,,02_노인의료복지시설.csv
M-A2412,일광노인요양센터,의료,(노인복지시설) 노인요양시설,서울특별시 성북구 보문로31길 70 (삼선동3가),성북구,삼선동,,02_노인의료복지시설.csv
M-A2538,청남노인요양공동생활가정,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 동작구 강남초등8길 20 (상도1동),동작구,상도1동,,02_노인의료복지시설.csv
M-A2895,은천요양원,의료,(노인복지시설) 노인요양시설,서울특별시 동대문구 장한로27가길 298 번지 21 호,동대문구,,,02_노인의료복지시설.csv
M-A2912,사랑이있는집노인요양공동생활가정,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 광진구 용마산로8마길 7-10 (중곡동),광진구,중곡동,,02_노인의료복지시설.csv
M-A2928,도르가복지선교회,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 종로구 홍지문길 84, B01호 (구기동)",종로구,구기동,,02_노인의료복지시설.csv
M-A2944,구립용산노인전문요양원,의료,(노인복지시설) 노인요양시설,서울특별시 용산구 효창원로93길 51 (효창동),용산구,효창동,,02_노인의료복지시설.csv
M-A3121,구립영등포노인케어센터,의료,(노인복지시설) 노인요양시설,서울특별시 영등포구 도림로 482 (문래동3가),영등포구,문래동,,02_노인의료복지시설.csv
M-A3370,남부실버요양센터 다솔관,의료,(노인복지시설) 노인요양시설,서울특별시 금천구 범안로12가길 59 (독산동),금천구,독산동,,02_노인의료복지시설.csv
M-A3469,아름다운실버홈,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 종로구 평창길 123 (평창동),종로구,평창동,,02_노인의료복지시설.csv
M-A3710,성암장수마을,의료,(노인복지시설) 노인요양시설,서울특별시 강동구 구천면로68길 46 (천호동),강동구,천호동,,02_노인의료복지시설.csv
M-A4555,서울성모원 노인요양공동생활가정,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 영등포구 대림로12가길 7-1 (대림동),영등포구,대림동,,02_노인의료복지시설.csv
M-A4585,효노인복지센터,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 강북구 오현로 194 (번동),강북구,번동,,02_노인의료복지시설.csv
M-A4586,연희실버홈,의료,(노인복지시설) 노인요양시설,서울특별시 서대문구 증가로2안길 6 (연희동),서대문구,연희동,,02_노인의료복지시설.csv
M-A4602,시니어스 너싱홈,의료,(노인복지시설) 노인요양시설,서울특별시 강서구 화곡로68길 102 (등촌동),강서구,등촌동,,02_노인의료복지시설.csv
M-A4615,한마음노인전문요양원,의료,(노인복지시설) 노인요양시설,서울특별시 강서구 초록마을로14길 44 (화곡동),강서구,화곡동,,02_노인의료복지시설.csv
M-A4746,붓다마을,의료,(노인복지시설) 노인요양시설,서울특별시 은평구 연서로48길 41 (진관동),은평구,진관동,,02_노인의료복지시설.csv
M-A4750,중앙실버노인요양공동생활가정,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 서대문구 충정로4길 5-25 (충정로3가),서대문구,,,02_노인의료복지시설.csv
M-A4918,구립 역삼노인요양센터,의료,(노인복지시설) 노인요양시설,서울특별시 강남구 도곡로27길 27 (역삼동),강남구,역삼동,,02_노인의료복지시설.csv
M-A4937,신목동 노인복지센터,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 양천구 중앙로 294, 7층 (신정동)",양천구,신정동,,02_노인의료복지시설.csv
M-A4962,로뎀노인요양공동생활가정,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 중랑구 동일로169길 40 (묵동),중랑구,묵동,,02_노인의료복지시설.csv
M-A4976,진각노인요양센터,의료,(노인복지시설) 노인요양시설,서울특별시 성북구 화랑로13길 17 (하월곡동),성북구,하월곡동,,02_노인의료복지시설.csv
M-A4997,시온노인요양원,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 은평구 갈현로 270, 4층동 (갈현동,4층)",은평구,층동,,02_노인의료복지시설.csv
M-A5050,구립양천어르신요양센터,의료,(노인복지시설) 노인요양시설,서울특별시 양천구 신월로 26 (신정동),양천구,신정동,,02_노인의료복지시설.csv
M-A5098,해피안,의료,(노인복지시설) 노인요양시설,서울특별시 은평구 연서로15길 27-2 (구산동),은평구,구산동,,02_노인의료복지시설.csv
M-A5207,애린실버Ⅰ,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 양천구 목동중앙남로3길 42 (목동,1층)",양천구,목동,,02_노인의료복지시설.csv
M-A5208,애린실버Ⅱ,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 양천구 목동중앙남로3길 42 (목동,2층)",양천구,목동,,02_노인의료복지시설.csv
M-A5266,도봉실버센터,의료,(노인복지시설) 노인요양시설,서울특별시 도봉구 시루봉로 133 (방학동),도봉구,방학동,,02_노인의료복지시설.csv
M-A5477,굿모닝케어노인전문요양원,의료,(노인복지시설) 노인요양시설,서울특별시 송파구 성내천로16길 17 (오금동),송파구,오금동,,02_노인의료복지시설.csv
M-A5485,므두셀라실버타운,의료,(노인복지시설) 노인요양시설,서울특별시 광진구 능동로 360 (중곡동),광진구,중곡동,,02_노인의료복지시설.csv
M-A5579,한세노인복지센터,의료,(노인복지시설) 노인요양시설,서울특별시 중랑구 신내로 50-5 (신내동),중랑구,신내동,,02_노인의료복지시설.csv
M-A5673,연궁너싱홈,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 서대문구 증가로 49 (연희동,2층)",서대문구,연희동,,02_노인의료복지시설.csv
M-A6014,녹번실버,의료,(노인복지시설) 노인요양시설,서울특별시 은평구 통일로57길 5-10 (녹번동),은평구,녹번동,,02_노인의료복지시설.csv
M-A6139,온누리요양원,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 강서구 강서로5나길 74 (화곡동,3층)",강서구,화곡동,,02_노인의료복지시설.csv
M-A6153,구립송파노인요양센터,의료,(노인복지시설) 노인요양시설,서울특별시 송파구 충민로,송파구,,,02_노인의료복지시설.csv
M-A6176,다사랑요양원,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 성북구 오패산로10길 30 (하월곡동,영광프라자 3층(303-2,304-2))",성북구,하월곡동,,02_노인의료복지시설.csv
M-A6181,한솔요양원,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 성북구 오패산로10길 30 (하월곡동,영광프라자 3층 303-1호)",성북구,하월곡동,,02_노인의료복지시설.csv
M-A6233,미성요양원,의료,(노인복지시설) 노인요양시설,서울특별시 관악구 난곡로63가길 42 (신림동),관악구,신림동,,02_노인의료복지시설.csv
M-A6257,베스트그린요양원2호점,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 중랑구 동일로 775 (중화동,그린프라자6층)",중랑구,중화동,,02_노인의료복지시설.csv
M-A6344,아름다운뜰안에 요양원,의료,(노인복지시설) 노인요양시설,서울특별시 종로구 평창21길 70 (평창동),종로구,평창동,,02_노인의료복지시설.csv
M-A6499,구립대치노인요양센터,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 강남구 역삼로69길 22 (대치동),강남구,대치동,,02_노인의료복지시설.csv
M-A6634,법화노인요양원,의료,(노인복지시설) 노인요양시설,서울특별시 관악구 법원단지길 153 (신림동),관악구,신림동,,02_노인의료복지시설.csv
M-A6756,세검정실버홈,의료,(노인복지시설) 노인요양시설,서울특별시 종로구 평창2길 5 (평창동),종로구,평창동,,02_노인의료복지시설.csv
M-A7017,늘편한요양센터2호,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 강동구 구천면로 318, 2층 (천호동)",강동구,천호동,,02_노인의료복지시설.csv
M-A7091,거목실버홈,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 강북구 한천로 1160, 3층 (수유동)",강북구,수유동,,02_노인의료복지시설.csv
M-A7092,북부성모요양원,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 강북구 한천로 1152, 3층 (수유동)",강북구,수유동,,02_노인의료복지시설.csv
M-A7132,금천구립사랑채요양원,의료,(노인복지시설) 노인요양시설,서울특별시 금천구 금하로 764 (시흥동),금천구,시흥동,,02_노인의료복지시설.csv
M-A7187,노블케어스,의료,(노인복지시설) 노인요양시설,서울특별시 은평구 응암로 353 (녹번동),은평구,녹번동,,02_노인의료복지시설.csv
M-A7188,수노인요양공동생활가정2호점,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 도봉구 도당로 80, 5층 (방학동, 월송빌딩)",도봉구,방학동,,02_노인의료복지시설.csv
M-A7202,선화요양원,의료,(노인복지시설) 노인요양시설,"서울특별시 강서구 등촌로 183, 3층 (등촌동)",강서구,등촌동,,02_노인의료복지시설.csv
M-A7205,두레노인요양원C,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 중랑구 신내로 45, 5층 (신내동, 해성빌딩)",중랑구,신내동,,02_노인의료복지시설.csv
M-A7275,중앙실버노인요양공동생활가정,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 서대문구 충정로4길 5-25 (충정로3가),서대문구,,,02_노인의료복지시설.csv
M-A7284,참빛요양센터,의료,(노인복지시설) 노인요양시설,"서울특별시 도봉구 도봉로141길 11 (쌍문동, 참빛빌딩)",도봉구,쌍문동,,02_노인의료복지시설.csv
M-A7293,강북요양원2호점,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 도봉구 도봉로 669, 501호 (방학동, 이정빌딩)",도봉구,방학동,,02_노인의료복지시설.csv
M-A7319,청화요양원,의료,(노인복지시설) 노인요양시설,"서울특별시 성북구 서경로 67 (정릉동, 동우빌딩)",성북구,정릉동,,02_노인의료복지시설.csv
M-A7359,기쁨과나눔노인요양원2호점,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 도봉구 도봉로137길 48, 2층 (쌍문동)",도봉구,쌍문동,,02_노인의료복지시설.csv
M-A7370,가원노인요양공동생활가정1호점,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 도봉구 방학로 169, 5층 (방학동)",도봉구,방학동,,02_노인의료복지시설.csv
M-A7405,보문요양원,의료,(노인복지시설) 노인요양시설,서울특별시 성북구 고려대로7길 32 (안암동1가),성북구,안암동,,02_노인의료복지시설.csv
M-A7412,세검정실버홈,의료,(노인복지시설) 노인요양시설,서울특별시 종로구 평창2길 5 (평창동),종로구,평창동,,02_노인의료복지시설.csv
M-A7461,가원노인요양공동생활가정2호점,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 도봉구 방학로 169, 4층 (방학동)",도봉구,방학동,,02_노인의료복지시설.csv
M-A7466,대림실버1 노인요양공동생활가정,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 영등포구 디지털로 398, 2층 (대림동, 대성빌딩)",영등포구,대림동,,02_노인의료복지시설.csv
M-A7467,대림실버2 노인요양공동생활가정,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 영등포구 디지털로 398, 5층 (대림동, 대성빌딩)",영등포구,대림동,,02_노인의료복지시설.csv
M-A7543,마이홈실버,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 서대문구 연희로 189-24, 1층 (연희동)",서대문구,연희동,,02_노인의료복지시설.csv
M-A7545,은천요양원,의료,(노인복지시설) 노인요양시설,서울특별시 동대문구 장한로27가길 53 (장안동),동대문구,장안동,,02_노인의료복지시설.csv
M-A7599,미소들실버케어센터,의료,(노인복지시설) 노인요양시설,서울특별시 구로구 고척로21나길 88-41 (개봉동),구로구,개봉동,,02_노인의료복지시설.csv
M-A7600,노블타운 요양원,의료,(노인복지시설) 노인요양시설,서울특별시 은평구 서오릉로 35 (녹번동),은평구,녹번동,,02_노인의료복지시설.csv
M-A7601,도봉효드림요양원,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 도봉구 마들로13길 175, 6층 (창동, 젬스빌딩)",도봉구,창동,,02_노인의료복지시설.csv
M-A7609,서울숲 요양원,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 성동구 뚝섬로 401-2, 4층 (일산빌딩)",성동구,성동,,02_노인의료복지시설.csv
M-A7619,구로푸른요양원,의료,(노인복지시설) 노인요양시설,서울특별시 구로구 개봉로3길 9 (개봉동),구로구,개봉동,,02_노인의료복지시설.csv
M-A7625,수요양원,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 노원구 동일로237다길 16, 3층 (상계동)",노원구,상계동,,02_노인의료복지시설.csv
M-A7650,보눔케어요양원,의료,(노인복지시설) 노인요양시설,서울특별시 송파구 가락로 27 (석촌동),송파구,석촌동,,02_노인의료복지시설.csv
M-A7670,광진소규모요양시설,의료,(노인복지시설) 노인요양시설,서울특별시 광진구 자양로51길 11-25 (구의동),광진구,구의동,,02_노인의료복지시설.csv
M-A7751,거목노인요양원,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 강북구 한천로 1160, 4층 (수유동)",강북구,수유동,,02_노인의료복지시설.csv
M-A7758,한마음너싱홈,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 성동구 용답중앙길 91 (용답동),성동구,용답동,,02_노인의료복지시설.csv
M-A7908,신목행복자리어르신요양센터,의료,(노인복지시설) 노인요양시설,서울특별시 양천구 신목로 10 (신정동),양천구,신정동,,02_노인의료복지시설.csv
M-A7928,남산실버복지센터,의료,(노인복지시설) 노인요양시설,서울특별시 중구 동호로5길 189 (신당동),중구,신당동,,02_노인의료복지시설.csv
M-A7929,(주)도봉늘푸른요양원,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 도봉구 방학로 115 (방학동,그린빌딩 3층)",도봉구,방학동,,02_노인의료복지시설.csv
M-A7965,행복한 집,의료,(노인복지시설) 노인요양시설,서울특별시 강서구 개화동로11길 3-12 (개화동),강서구,개화동,,02_노인의료복지시설.csv
M-A8001,광진노인요양공동생활가정,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 광진구 자양로51길 11-25 (구의동),광진구,구의동,,02_노인의료복지시설.csv
M-A8007,그랜드너싱홈,의료,(노인복지시설) 노인요양시설,"서울특별시 강동구 양재대로 1465, 301호 (길동, 마루빌딩)",강동구,강동,,02_노인의료복지시설.csv
M-A8008,길음안나의집 노인전문요양원,의료,(노인복지시설) 노인요양시설,서울특별시 성북구 길음로9길 46 (길음동),성북구,길음동,,02_노인의료복지시설.csv
M-A8012,나이팅게일너싱홈,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 양천구 오목로 22, 202호 (신월동)",양천구,신월동,,02_노인의료복지시설.csv
M-A8052,광진한울촌노인요양시설,의료,(노인복지시설) 노인요양시설,서울특별시 광진구 군자로 79 (군자동),광진구,군자동,,02_노인의료복지시설.csv
M-A8080,정성노인요양원,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 동작구 보라매로 89 (신대방동),동작구,신대방동,,02_노인의료복지시설.csv
M-A8127,시립송파노인전문요양원,의료,(노인복지시설) 노인요양시설,서울특별시 송파구 백제고분로32길 37 (삼전동),송파구,삼전동,,02_노인의료복지시설.csv
M-A8156,부모섬김노인요양원,의료,(노인복지시설) 노인요양시설,"서울특별시 성북구 오패산로 98 (하월곡동,로만프라자 3층)",성북구,하월곡동,,02_노인의료복지시설.csv
M-A8158,홍은노인요양시설,의료,(노인복지시설) 노인요양시설,"서울특별시 서대문구 홍은중앙로9길 43, 3,4층 (홍은동)",서대문구,홍은동,,02_노인의료복지시설.csv
M-A8214,로뎀복지요양원,의료,(노인복지시설) 노인요양시설,서울특별시 금천구 시흥대로59길 20 (시흥동),금천구,시흥동,,02_노인의료복지시설.csv
M-A8240,흰돌장기요양센터1호점,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 강동구 구천면로 323, 6층 (암사동, 개나리프라자)",강동구,강동,,02_노인의료복지시설.csv
M-A8318,관악노인종합사회복지관 병설 관악치매전문요양센터,의료,(노인복지시설) 노인요양시설,서울특별시 관악구 보라매로 35 (봉천동),관악구,봉천동,,02_노인의료복지시설.csv
M-A8356,임원요양원,의료,(노인복지시설) 노인요양시설,서울특별시 금천구 독산로 959 번지 23 호,금천구,,,02_노인의료복지시설.csv
M-A8452,성심복지센터,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 동대문구 망우로 122-1 (휘경동),동대문구,휘경동,,02_노인의료복지시설.csv
M-A8463,은파요양원,의료,(노인복지시설) 노인요양공동생활가정,서울특별시 동대문구 한천로 77 (답십리동),동대문구,답십리동,,02_노인의료복지시설.csv
M-A8464,은나무요양원,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 동대문구 한천로 77 (답십리동,일신빌딩 3층)",동대문구,답십리동,,02_노인의료복지시설.csv
M-A8478,도봉효드림요양원,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 도봉구 마들로13길 175 (창동,젬스빌딩 6층)",도봉구,창동,,02_노인의료복지시설.csv
M-A8551,금호노인요양원,의료,(노인복지시설) 노인요양시설,"서울특별시 성동구 금호동4가 188번지 정은타워 B02호, 201호, 301호",성동구,성동,,02_노인의료복지시설.csv
M-A8586,축복재가장기노인요양원,의료,(노인복지시설) 노인요양공동생활가정,"서울특별시 중랑구 용마산로 389 (면목동,4층)",중랑구,면목동,,02_노인의료복지시설.csv
