name,address,gu_raw
중앙경로당,서울특별시 용산구 새창로 102,용산구
브라운스톤경로당,서울특별시 용산구 효창원로 88,용산구
삼각지경로당,서울특별시 용산구 이태원로2길 5,용산구
파크자이경로당,서울특별시 용산구 한강대로 205,용산구
한강로2가경로당,서울특별시 용산구 서빙고로20길 19,용산구
한강우람경로당,서울특별시 용산구 한강대로53길 1-8,용산구
용산파크이편한세상경로당,서울특별시 용산구 한강대로53길 16,용산구
한마음경로당,서울특별시 용산구 한강대로38길 28,용산구
한강로3가경로당,서울특별시 용산구 한강대로7길 17-16,용산구
삼오경로당,서울특별시 용산구 한강대로 60,용산구
파크타워경로당,서울특별시 용산구 서빙고로 67,용산구
센트럴파크경로당,"서울특별시 용산구 서빙고로 17, 101동 3층",용산구
이촌1동2경로당,서울특별시 용산구 이촌로75길 12-12,용산구
한가람아파트경로당,서울특별시 용산구 이촌로 201,용산구
강촌아파트경로당,서울특별시 용산구 이촌로87길 14,용산구
한강대우아파트경로당,서울특별시 용산구 이촌로65가길 3,용산구
이촌동코오롱아파트경로당,서울특별시 용산구 이촌로87길 21,용산구
삼성리버스위트아파트경로당,서울특별시 용산구 이촌로88길 30,용산구
한강맨션경로당,서울특별시 용산구 이촌로 248,용산구
래미안첼리투스경로당,서울특별시 용산구 이촌로 310,용산구
우성아파트경로당,서울특별시 용산구 이촌로 193,용산구
이촌2동할머니(대림)경로당,서울특별시 용산구 이촌로2가길 122,용산구
이촌2동할아버지(대림)경로당,서울특별시 용산구 이촌로2가길 122,용산구
현대한강아파트경로당,서울특별시 용산구 이촌로34길 29,용산구
북한강아파트(성원)경로당,서울특별시 용산구 이촌로2가길 66,용산구
동아그린아파트경로당,서울특별시 용산구 이촌로 100-8,용산구
청화경로당,서울특별시 용산구 장문로 27,용산구
이태원남부경로당,서울특별시 용산구 이태원로17길 12,용산구
이태원1동경로당,서울특별시 용산구 이태원로23길 19,용산구
이화경로당,서울특별시 용산구 이태원로16길 15-10,용산구
이태원북부경로당,서울특별시 용산구 회나무로13길 32,용산구
이태원중부경로당,서울특별시 용산구 회나무로6길 11-8,용산구
조양경로당,서울특별시 용산구 녹사평대로40나길 38-3,용산구
이태원대림경로당,서울특별시 용산구 녹사평대로 254,용산구
한남리버탑아파트경로당,서울특별시 용산구 독서당로6길 16,용산구
한남시범아파트경로당,서울특별시 용산구 독서당로34길 22,용산구
한남동제1경로당,서울특별시 용산구 한남대로 48-7,용산구
한남힐스테이트아파트경로당,서울특별시 용산구 장문로 141,용산구
매봉(한남2동)제일경로당,서울특별시 용산구 한남대로40길 32,용산구
한일경로당,서울특별시 용산구 이태원로54길 68-4,용산구
서빙고할아버지경로당,서울특별시 용산구 서빙고로59길 3-20,용산구
서빙고할머니경로당,서울특별시 용산구 녹사평대로14길 8,용산구
동빙고경로당,서울특별시 용산구 서빙고로75가길 23,용산구
신동아아파트경로당,서울특별시 용산구 이촌로 347,용산구
용산푸르지오파크타운경로당,서울특별시 용산구 녹사평대로 66,용산구
보광제1경로당,서울특별시 용산구 보광로7길 9,용산구
보광종점경로당,서울특별시 용산구 장문로 95,용산구
보광경로당,서울특별시 용산구 장문로19길 1,용산구
보광신동아아파트경로당,서울특별시 용산구 장문로 104,용산구
보광동제3경로당,서울특별시 용산구 보광로32길 1,용산구
새로나경로당,서울특별시 용산구 보광로12가길 23-6,용산구
우사단경로당,서울특별시 용산구 우사단로4길 30,용산구
보광삼성리버빌아파트경로당,서울특별시 용산구 보광로5길 40,용산구
우리들경로당,서울특별시 용산구 장문로80 202호,용산구
청계벽산(아)경로당,"무학로 50(왕십리도선동, 청계벽산아파트) 관리사무소 1층",성동구
도선동경로당,무학로6길 9(왕십리도선동) 노인지회 5층,성동구
도선장수경로당,무학로6길 50(왕십리도선동) 삼성쉐르빌 3층,성동구
"청계벽산(아)홍익동
경로당","무학로 50(왕십리도선동, 청계벽산아파트) 임대관리사무소 1층",성동구
청계대주(아)경로당,"무학로12길 11(왕십리도선동, 청계대주아파트) 관리사무소 1층",성동구
미소경로당,"마장로 137(상왕십리동, 텐즈힐) 202동 1층",성동구
희망경로당,"마장로 137(상왕십리동, 텐즈힐) 214동 1층",성동구
텐즈힐 열린경로당,"무학로 33(하왕십리동, 텐즈힐) 115동 1층",성동구
텐즈힐 행복경로당,"무학로 33(하왕십리동, 텐즈힐) 121동 1층",성동구
센트라스(아)제1경로당,"왕십리로 410(도선동, 센트라스아파트) 123동 1층",성동구
무학경로당,왕십리로31길 29(왕십리2동),성동구
일심경로당,무학봉15라길 4(왕십리2동),성동구
한신무학(아)경로당,"왕십리로31나길 18(왕십리2동, 한신무학아파트) 관리사무소 1층",성동구
"금호베스트빌(아) 
제1경로당","난계로 114-31(왕십리2동, 금호베스트빌아파트) 관리사무소 1층",성동구
"금호베스트빌(아)
모아경로당","난계로 114-31(왕십리2동, 금호베스트빌아파트) 무학어린이집 2층",성동구
무학현대(아)경로당,"무학봉길 49(왕십리2동, 무학현대아파트) 관리사무소 1층",성동구
왕십리제2경로당,무학봉길 40(왕십리2동),성동구
일심할머니경로당,무학봉23길 5(왕십리2동),성동구
왕십리제일경로당,왕십리로31가길 12 (1층),성동구
안정경로당,무학봉12길 3-11(왕십리2동),성동구
하왕극동미라주(아),"난계로 73(왕십리2동, 하왕극동미라주아파트) 관리사무소 1층",성동구
극동미라주(아)제2,"난계로 73(왕십리2동, 극동미라주아파트) 104동 1층",성동구
풍림경로당,"난계로 84(왕십리2동, 풍림아파트) 풍림어린이집 같은 건물",성동구
왕십리자이(아)경로당,난계로 100(왕십리자이아파트) 관리사무소 1층,성동구
서마경로당,청계천로10나길 62-7(마장동),성동구
마장제2경로당,마장로42길 13(마장동),성동구
마장제3경로당,무학로14가길 8-1(마장동),성동구
마장제4경로당,고산자로 328(마장동),성동구
마장제6경로당,살곶이2가길 114(마장동),성동구
세림(아)경로당,"마장로42길 16(마장동, 세림아파트) 관리사무소 1층",성동구
정화경로당,마장로33길 29-5(마장동),성동구
일송경로당,"마조로15가길 23(마장동, 마장SH빌) 관리사무소 1층",성동구
삼성(아)경로당,"마장로 271(마장동, 삼성아파트) 관리사무소 1층",성동구
현대(아)경로당,"살곶이길 50(마장동, 현대아파트) 관리사무소 1층",성동구
신성(아)경로당,"마장로39길 43(마장동, 신성아파트) 103동 1층",성동구
"마장중앙하이츠(아)
경로당","마장로 262(마장동, 마장중앙하이츠아파트) 관리사무소 1층",성동구
왕좌경로당,청계천로10나길 40-5(마장동),성동구
금호어울림(아)경로당,"마조로 57(마장동, 금호어울림아파트) 관리사무소 1층",성동구
"마장대성유니드
(아)경로당","마장로37길 7(마장동, 마장대성유니드아파트) 103동 앞",성동구
사근제1경로당,사근동12길 1(사근동),성동구
사근제2경로당,사근동11길 48(사근동),성동구
사근제3경로당,마조로 9길 2(사근동),성동구
사근제4경로당,사근동길 72(사근동),성동구
사근벽산(아)경로당,"살곶이길 176(사근동, 사근벽산아파트) 관리사무소 1층",성동구
하이츠(아)경로당,"사근동길 67(사근동, 하이츠아파트) 관리사무소 1층",성동구
"서울숲더샵
실버문화센터",왕십리로 241(102동 4F),성동구
