rest_id,kind,name,address,area_m2,lon,lat,source_file
R-00093,cool_shelter,독산2동주민센터,서울특별시 금천구 독산로 179,211.0,126.90349,37.4631486,03_seoul_cool_shelter.csv
R-00094,cool_shelter,서초네이처힐1단지아파트경로당,서울특별시 서초구 형촌길 35 (서초네이처힐1단지),130.0,127.02001,37.463695,03_seoul_cool_shelter.csv
R-00095,cool_shelter,주공2단지(아)경로당,서울특별시 관악구 광신길 86,142.0,126.926697,37.463915,03_seoul_cool_shelter.csv
R-00096,cool_shelter,신림동벽산블루밍(아)경로당,서울특별시 관악구 호암로 519 (벽산블루밍아파트 102동),68.0,126.931159,37.463967,03_seoul_cool_shelter.csv
R-00097,cool_shelter,금천장애인종합복지관,서울특별시 금천구 시흥대로101길 17,617.0,126.8962768,37.4639875,03_seoul_cool_shelter.csv
R-00098,cool_shelter,난향경로당,서울특별시 관악구 난곡로9길 29-2,97.0,126.9181334,37.4640432,03_seoul_cool_shelter.csv
R-00099,cool_shelter,반고개경로당,서울특별시 강남구 헌릉로622길 9,85.0,127.1070291,37.4640471,03_seoul_cool_shelter.csv
R-00100,cool_shelter,다원새마을금고,서울특별시 금천구 독산로 192 (독산동),12.0,126.9032961,37.4641864,03_seoul_cool_shelter.csv
R-00101,cool_shelter,독산2동마을활력소(정감),서울특별시 금천구 시흥대로 342 (독산동),66.0,126.8981302,37.464312,03_seoul_cool_shelter.csv
R-00102,cool_shelter,흐능날경로당,서울특별시 서초구 헌인릉1길 42 (내곡동),45.0,127.085411,37.464374,03_seoul_cool_shelter.csv
R-00103,cool_shelter,복지경로당,서울특별시 금천구 벚꽃로10길 94,167.0,126.895285,37.464581,03_seoul_cool_shelter.csv
R-00104,cool_shelter,신림종합사회복지관,서울특별시 관악구  난곡로  110   (신림동),400.0,126.9198616,37.464836,03_seoul_cool_shelter.csv
R-00105,cool_shelter,양재리본타워2단지아파트경로당,서울특별시 서초구 매헌로16길 40 (양재리본타워2단지 202동),114.0,127.036157,37.464853,03_seoul_cool_shelter.csv
R-00106,cool_shelter,돌샘경로당,서울특별시 관악구 호암로18나길 5,143.6,126.9328739,37.4652907,03_seoul_cool_shelter.csv
R-00107,cool_shelter,윗반고개경로당,서울특별시 강남구 헌릉로645길 11,160.0,127.1094701,37.4656188,03_seoul_cool_shelter.csv
R-00108,cool_shelter,주공1단지(아)경로당,서울특별시 관악구 광신길 160,106.0,126.927911,37.465935,03_seoul_cool_shelter.csv
R-00109,cool_shelter,태흥(아)경로당,서울특별시 관악구 호암로 541 (신림태흥아파트),49.0,126.931009,37.466062,03_seoul_cool_shelter.csv
R-00110,cool_shelter,금천평생학습관독산,서울특별시 금천구 범안로 1240-7 (독산동),20.0,126.8997663,37.4660982,03_seoul_cool_shelter.csv
R-00111,cool_shelter,잔디마을경로당,서울특별시 서초구 매헌로6길 58 (양재동),82.0,127.0355057,37.4662508,03_seoul_cool_shelter.csv
R-00112,cool_shelter,책이든거리작은도서관,,12.0,126.888455,37.4663,03_seoul_cool_shelter.csv
R-00113,cool_shelter,남태령경로당,서울특별시 서초구 전원말안길 2 (마을회관),66.0,126.989143,37.466351,03_seoul_cool_shelter.csv
R-00114,cool_shelter,구립대학경로당,서울특별시 관악구 대학12길 16 (신림동),96.0,126.9369878,37.466638,03_seoul_cool_shelter.csv
R-00115,cool_shelter,성민종합복지관,서울특별시 관악구 호암로 549 (신림동),156.0,126.9312716,37.4667964,03_seoul_cool_shelter.csv
R-00116,cool_shelter,정훈경로당,서울특별시 금천구 독산로64길 79,106.0,126.906432,37.466802,03_seoul_cool_shelter.csv
R-00117,cool_shelter,건영3차(아)경로당,서울특별시 관악구 신림로3길 40 (건영아파트 상가동),225.0,126.942548,37.467021,03_seoul_cool_shelter.csv
R-00118,cool_shelter,대덕트윈빌아파트경로당,서울특별시 금천구 시흥대로112길 6 (대덕트윈빌 101동),,126.899029,37.467339,03_seoul_cool_shelter.csv
R-00119,cool_shelter,금천구립독산도서관(1층로비),,33.0,126.908019,37.467368,03_seoul_cool_shelter.csv
R-00120,cool_shelter,금천어르신복지센터,서울특별시 금천구 범안로17길 22 (독산동),60.0,126.8944,37.4674,03_seoul_cool_shelter.csv
